77,Tetraophasis obscurus,红喉雉鹑,Chestnut-throated Monal Partridge,LC,一级,中文名由雉鹑改为红喉雉鹑
78,Tetraophasis szechenyii,黄喉雉鹑,Buff-throated Monal Partridge,LC,一级,
79,Lophophorus impejanus,棕尾虹雉,Himalayan Monal,LC,一级,
80,Lophophorus sclateri,白尾梢虹雉,Sclater's Monal,VU,一级,
81,Lophophorus lhuysii,绿尾虹雉,Chinese Monal,VU,一级,
82,Pucrasia macrolopha,勺鸡,Koklass Pheasant,LC,二级,
83,Tetrastes bonasia,花尾榛鸡,Hazel Grouse,LC,二级,
84,Tetrastes sewerzowi,斑尾榛鸡,Chinese Grouse,NT,一级,
85,Lagopus lagopus,柳雷鸟,Willow Ptarmigan,LC,二级,
86,Lagopus muta,岩雷鸟,Rock Ptarmigan,LC,二级,
87,Falcipennis falcipennis,镰翅鸡,Siberian Grouse,NT,二级,
88,Tetrao urogallus,西方松鸡,Western Capercaillie,LC,二级,
89,Tetrao urogalloides,黑嘴松鸡,Black-billed Capercaillie,LC,一级,
90,Lyrurus tetrix,黑琴鸡,Black Grouse,LC,一级,
91,Perdix hodgsoniae,高原山鹑,Tibetan Partridge,LC,-,
92,Perdix perdix,灰山鹑,Grey Partridge,LC,-,
93,Perdix dauurica,斑翅山鹑,Daurian Partridge,LC,-,
94,Syrmaticus reevesii,白冠长尾雉,Reeves's Pheasant,VU,一级,
95,Syrmaticus mikado,黑长尾雉,Mikado Pheasant,NT,一级,
96,Syrmaticus ellioti,白颈长尾雉,Elliot's Pheasant,NT,一级,
97,Syrmaticus humiae,黑颈长尾雉,Mrs. Hume's Pheasant,NT,一级,
98,Chrysolophus pictus,红腹锦鸡,Golden Pheasant,LC,二级,
99,Chrysolophus amherstiae,白腹锦鸡,Lady Amherst's Pheasant,LC,二级,
100,Phasianus colchicus,雉鸡,Common Pheasant,LC,-,
101,Crossoptilon harmani,藏马鸡,Tibetan Eared Pheasant,NT,二级,
102,Crossoptilon crossoptilon,白马鸡,White Eared Pheasant,NT,二级,
103,Crossoptilon mantchuricum,褐马鸡,Brown Eared Pheasant,VU,一级,
104,Crossoptilon auritum,蓝马鸡,Blue Eared Pheasant,LC,二级,
105,Lophura swinhoii,蓝腹鹇,Swinhoe's Pheasant,NT,一级,
106,Lophura leucomelanos,黑鹇,Kalij Pheasant,LC,二级,
107,Lophura nycthemera,白鹇,Silver Pheasant,LC,二级,
108,Pavo muticus,绿孔雀,Green Peafowl,EN,一级,
109,Tropicoperdix chloropus,绿脚树鹧鸪,Green-legged Partridge,LC,二级,
110,Polyplectron katsumatae,海南孔雀雉,Hainan Peacock Pheasant,EN,一级,
111,Polyplectron bicalcaratum,灰孔雀雉,Grey Peacock Pheasant,LC,一级,
112,Bambusicola fytchii,棕胸竹鸡,Mountain Bamboo Partridge,LC,-,
113,Bambusicola thoracicus,灰胸竹鸡,Chinese Bamboo Partridge,LC,-,
114,Bambusicola sonorivox,台湾竹鸡,Taiwan Bamboo Partridge,LC,-,
115,Gallus gallus,红原鸡,Red Junglefowl,LC,二级,
116,Francolinus pintadeanus,中华鹧鸪,Chinese Francolin,LC,-,
117,Tetraogallus tibetanus,藏雪鸡,Tibetan Snowcock,LC,二级,
118,Tetraogallus altaicus,阿尔泰雪鸡,Altai Snowcock,LC,二级,
119,Tetraogallus himalayensis,暗腹雪鸡,Himalayan Snowcock,LC,二级,
120,Synoicus chinensis,蓝胸鹑,King Quail,LC,-,
121,Coturnix coturnix,西鹌鹑,Common Quail,LC,-,
122,Coturnix japonica,鹌鹑,Japanese Quail,NT,-,
123,Alectoris chukar,石鸡,Chukar Partridge,LC,-,
124,Alectoris magna,大石鸡,Rusty-necklaced Partridge,LC,二级,
3,GAVIIFORMES,潜鸟科,Gaviidae (1:4),,,
125,Gavia stellata,红喉潜鸟,Red-throated Loon,LC,-,
126,Gavia arctica,黑喉潜鸟,Black-throated Loon,LC,-,
127,Gavia pacifica,太平洋潜鸟,Pacific Loon,LC,-,
128,Gavia adamsii,黄嘴潜鸟,Yellow-billed Loon,NT,-,
4,PROCELLARIIFORMES,洋海燕科,Oceanitidae (1:1),,,
129,Oceanites oceanicus,黄蹼洋海燕,Wilson's Storm Petrel,LC,-,
5,PROCELLARIIFORMES,信天翁科,Diomedeidae (1:3),,,
130,Phoebastria immutabilis,黑背信天翁,Laysan Albatross,NT,-,
131,Phoebastria nigripes,黑脚信天翁,Black-footed Albatross,NT,一级,
132,Phoebastria albatrus,短尾信天翁,Short-tailed Albatross,VU,一级,
6,PROCELLARIIFORMES,海燕科,Hydrobatidae (1:4),,,
133,Hydrobates monorhis,黑叉尾海燕,Swinhoe's Storm Petrel,NT,-,
134,Hydrobates leucorhous,白腰叉尾海燕,Leach's Storm Petrel,VU,-,学名由Hydrobates leucorhoa改为Hydrobates leucorhous
135,Hydrobates tristrami,褐翅叉尾海燕,Tristram's Storm Petrel,LC,-,
136,Hydrobates matsudairae,日本叉尾海燕,Matsudaira's Storm Petrel,VU,-,
7,PROCELLARIIFORMES,鹱科,Procellariidae (6:11),,,
137,Fulmarus glacialis,暴雪鹱,Northern Fulmar,LC,-,
138,Pterodroma solandri,棕头圆尾鹱,Providence Petrel,LC,-,2022年3月5日，台湾基隆，蔡志伟、黄重融、洪贯捷等
139,Pterodroma heraldica,信使圆尾鹱,Herald Petrel,LC,-,
140,Pterodroma hypoleuca,白额圆尾鹱,Bonin Petrel,LC,-,
141,Pseudobulweria rostrata,钩嘴圆尾鹱,Tahiti Petrel,NT,-,
142,Calonectris leucomelas,白额鹱,Streaked Shearwater,NT,-,
143,Ardenna pacifica,楔尾鹱,Wedge-tailed Shearwater,LC,-,
144,Ardenna grisea,灰鹱,Sooty Shearwater,NT,-,
145,Ardenna tenuirostris,短尾鹱,Short-tailed Shearwater,LC,-,
